title,point,date,comment
Hack NFL data using Postgres (and maybe win your fantasy draft),46 points by CoolAssPuppy,6 hours ago,11 comments
A Short History of Malware Protection in macOS,25 points by giuliomagnifico,8 hours ago,1 comment
I created a $350M software company knowing nothing about software (2015),119 points by himoacs,23 hours ago,51 comments
Show HN: AI Background Remover,84 points by vvoyer,11 hours ago,31 comments
Over half of Covid hospitalisations tested positive after admission,113 points by mrfusion,12 hours ago,156 comments
Crossing an entire country in a straight line,68 points by magamig,18 hours ago,41 comments
"Lessons learned from 15 years of SumatraPDF, an open source Windows app",295 points by archimag0,19 hours ago,122 comments
Japan's cherry blossom: as indisputable as climate change evidence gets,75 points by jaza,6 hours ago,106 comments
Digitize MiniDV Tapes with Linux,56 points by arsouyes,18 hours ago,33 comments
Video game developers at Activision Blizzard say they'll walk out Wednesday,462 points by waynekerr,8 hours ago,476 comments
Element raises $30M to boost Matrix,768 points by Sami_Lehtinen,18 hours ago,319 comments
Electrify America Will Begin to phase out CHAdeMO In 2022,15 points by clouddrover,3 hours ago,2 comments
De-siloing incident management: make reliability engineering everyone's job,38 points by kiyanwang,16 hours ago,13 comments
"Mercedes-Benz teases super-efficient EV with over 1,000km of range",73 points by mardiyah,14 hours ago,197 comments
Text2Code: Converts English queries into Python code,54 points by jernejzen,14 hours ago,7 comments
On Medici and Thiel,15 points by tadkar,7 hours ago,5 comments
Edgar Allan Poe's engagement with American science,43 points by webmaven,17 hours ago,3 comments
EFF Sues US Postal Service for Records About Covert Social Media Spying Program,24 points by infodocket,5 hours ago,2 comments
The Prospector’s Guide to the Galaxy (2013) [pdf],15 points by sciurus,12 hours ago,1 comment
TSMC eyes Germany as possible location for first Europe chip plant,686 points by stereoradonc,1 day ago,426 comments
Ask HN: How did you establish and maintain relationships with your first users?,121 points by dwrodri,1 day ago,56 comments
"Intel to build Qualcomm chips, aims to catch foundry rivals by 2025",255 points by mepian,1 day ago,135 comments
It's later than you think (2019),29 points by gautamcgoel,5 hours ago,1 comment
What time-weighted averages are and why you should care,165 points by ibrar74,21 hours ago,25 comments
Show HN: Dear Intern,22 points by saturdayplace,10 hours ago,3 comments
Backyard Roller Coasters,113 points by this_was_posted,18 hours ago,18 comments
Some stuff I found interesting about number theory research,338 points by luu,1 day ago,110 comments
How to Make Cyanotypes (2020),51 points by onychomys,11 hours ago,15 comments
"Microsoft Reports Record Revenue, Topping Expectations",21 points by breck,6 hours ago,1 comment
"For developers, Safari is crap and outdated",475 points by feross,22 hours ago,572 comments
Collision Detection Is Hard: The Story of Alf,156 points by zdw,22 hours ago,29 comments
Tesla rewrote its own software to survive the chip shortage,13 points by turtlegrids,3 hours ago,4 comments
Terracotta: Serverless GeoTiff Tile Server,69 points by xk3,1 day ago,21 comments
Show HN: Finding DORA with Sleuth – the most accurate Accelerate metrics tracker,30 points by detkin,9 hours ago,5 comments
Farmers always worked from home,109 points by artpi,13 hours ago,159 comments
Moving SciPy to the Meson Build System,88 points by stockholmsin,16 hours ago,31 comments
The Funhouse Mirror of Perl Criticism,7 points by mjgardner,11 hours ago,3 comments
Microsoft proposes a standard of adding app changelog to Webmanifest,15 points by thunderbong,14 hours ago,2 comments
About the security content of iOS 14.7.1 and iPadOS 14.7.1,497 points by jiripospisil,1 day ago,336 comments
Debian for Mobile,233 points by wwarner,1 day ago,106 comments
It’s not a self-driving car unless you can sleep in it,155 points by CRConrad,16 hours ago,183 comments
Autofill in password managers can allow login credentials to be stolen,219 points by shacrw,1 day ago,137 comments
The first atomic bomb created ‘forbidden’ quasicrystal,102 points by danboarder,22 hours ago,40 comments
"Daniel Hale, who leaked information on U.S. drone,sentenced 45 months in prison",26 points by jimmy2020,9 hours ago,1 comment
A Unix-style personal search engine and web crawler for your digital footprint,328 points by amirGi,1 day ago,90 comments
Taking Months to Bits: A calendrical journey into low-level programming,22 points by ingve,15 hours ago,3 comments
Why the Substack hype is much ado about very little,127 points by indigodaddy,23 hours ago,133 comments
United States sells Wu-Tang album forfeited by Martin Shkreli,112 points by uptown,6 hours ago,101 comments
'We All Quit': How America’s Workers Are Taking Back Their Power,33 points by airstrike,9 hours ago,11 comments
Differences in Semiconductor Soft Errors Caused by Cosmic-Ray Muons and Neutrons,56 points by mkj,22 hours ago,20 comments
Understanding Rust futures by going way too deep,464 points by tempodox,1 day ago,125 comments
Staff Engineer Guide,70 points by ra7,1 day ago,6 comments
Sweden is being shot up,46 points by Red_Tarsius,15 hours ago,15 comments
The Insecurity Industry,703 points by stanislavb,1 day ago,351 comments
Google results for PHP tutorials contain SQL injection vulnerabilities,548 points by phil294,2 days ago,322 comments
Introduction to open source private LTE and 5G networks,601 points by peter_d_sherman,2 days ago,116 comments
Dell is cancelling Alienware gaming PC shipments to several US states,21 points by formalsystem,9 hours ago,4 comments
Virtual Analog Synthesizer: Bandlimited Waveforms,4 points by ingve,9 hours ago,1 comment
Twitter suspends the official account of the AZ Audit,34 points by dukeofdoom,8 hours ago,17 comments
The search for a better persistent cache (SQLite),6 points by reckoner22,9 hours ago,1 comment
2021 Recovery Of Great Barrier Reef Coral Cover,47 points by chewz,13 hours ago,10 comments
"Why we don't dole out many compliments, but should",52 points by rustoo,12 hours ago,64 comments
Jeanne Calment’s 122-year old longevity record may be fake (2018),142 points by briefcomment,1 day ago,153 comments
Japan pitches 'Society 5.0' to keep its edge in tech and science,197 points by okareaman,1 day ago,284 comments
"Anna Kiesenhofer: Mathematician, amateur cyclist, Olympic champion",659 points by billfruit,2 days ago,169 comments
Continuity Concerns – Computer Animation Oddities,29 points by ColinWright,1 day ago,4 comments
Show HN: Ludus – Collaborative presentation tool for creative teams,14 points by andreascreten,14 hours ago,1 comment
Man tries to go over water from Florida to NYC in makeshift human hamster wheel,31 points by rdines,12 hours ago,24 comments
Index machine: an open source pick and place machine,88 points by gizdan,1 day ago,35 comments
APSE – A Personal Search Engine,135 points by thunderbong,1 day ago,59 comments
"Intel's Process Roadmap to 2025: with 4nm, 3nm, 20A and 18A?",101 points by MikusR,1 day ago,81 comments
Israeli military search team helped recover majority of Surfside victims,261 points by 737min,1 day ago,119 comments
"Please, enough with the dead butterflies (2017)",604 points by andrelaszlo,2 days ago,208 comments
Ask HN: What is your ideal email backup solution?,22 points by Brajeshwar,12 hours ago,12 comments
Becoming a Chess Grandmaster,243 points by _ttg,1 day ago,292 comments
Guilty Verdict in First Trial Under Hong Kong Security Law,28 points by graderjs,12 hours ago,6 comments
Workers who fix Apple's laptops say their workplace is a ‘sweatshop’,11 points by gcoguiec,7 hours ago,1 comment
Launch HN: InstaKin (YC S21) - Help immigrants to manage tasks in home countries,201 points by yshirazi,1 day ago,67 comments
Hastening Linux process cleanup with process_mrelease,90 points by chmaynard,1 day ago,34 comments
Simple RNA tweak boosts potato and rice yields by 50 percent,17 points by triple_m,11 hours ago,3 comments
Nothing ear (1),4 points by darnfish,12 hours ago,2 comments
Salmon nearly roasted alive in Pacific north-west heatwave captured on video,9 points by vinni2,9 hours ago,6 comments
All Xero services facing major outage,41 points by J_tt,16 hours ago,25 comments
The Muon G–2 Anomaly Explained (Comic),89 points by AliCollins,10 hours ago,8 comments
No-code Bubble raises $100M to make technical co-founders obsolete,17 points by santa_boy,10 hours ago,20 comments
Compile your software,45 points by wowi42,1 day ago,37 comments
Reducing CO2 emissions by targeting the world's hyper-polluting power plants,284 points by jbotz,1 day ago,215 comments
A rusty green early ocean? (2017),27 points by detaro,1 day ago,6 comments
Who Will Pay to Protect Tech Giants from Rising Seas?,5 points by pseudolus,15 hours ago,2 comments
Language records reveal a surge of cognitive distortions in recent decades,282 points by jbotz,2 days ago,145 comments
Evolution of tree data structures for indexing,98 points by baotiao,1 day ago,12 comments
Toyota is quietly pushing Congress to slow the shift to electric vehicles,590 points by hassanahmad,1 day ago,727 comments
The SaaS Org Chart,382 points by anacleto,2 days ago,134 comments
"Finding Windows HANDLE leaks, in Chromium and others",183 points by ingve,1 day ago,42 comments
Police are telling ShotSpotter to alter evidence from gunshot-detecting AI,509 points by danso,1 day ago,324 comments
Threema OnPrem: Maximum Security Thanks to Self-Hosting,30 points by Tomte,12 hours ago,7 comments
Pronouncing non-English names for English speakers,270 points by ingve,2 days ago,454 comments
Strengthening our workplace with neurodiverse talent,133 points by ingve,1 day ago,241 comments
How to Be an Amateur Bot Hunter,95 points by mbellotti,1 day ago,22 comments
Simulating worlds on the GPU: Four billion years in four minutes,375 points by xk3,2 days ago,58 comments
Review: Framework’s lightweight modular laptop is a winner,9 points by nradov,8 hours ago,2 comments
My First CSS,293 points by nhardy,1 day ago,102 comments
Apple gave Uber access to a secret feature that can record iPhone screens (2017),87 points by minikites,13 hours ago,23 comments
The Time Tax,28 points by jbegley,13 hours ago,11 comments
All Possible Views About Humanity's Future Are Wild,56 points by deegles,10 hours ago,70 comments
US population could shrink for first time on record,13 points by pseudolus,10 hours ago,2 comments
"Freenom, the free domains website, is a scam",305 points by hackermondev,2 days ago,162 comments
Tomato fruits send electrical warnings to the rest of the plant when attacked,260 points by rustoo,2 days ago,121 comments
"U.S. Population Growth, an Economic Driver, Grinds to a Halt",49 points by NiceWayToDoIT,19 hours ago,111 comments
Ask HN: How do you chill your mind after work?,75 points by antag0nist,23 hours ago,51 comments
More Protein Folding Progress – What’s It Mean?,113 points by pvsukale3,1 day ago,26 comments
China Is Building a Second Nuclear Missile Silo Field,40 points by dosmarder,20 hours ago,22 comments
1Password Raises $100M,17 points by kylehotchkiss,13 hours ago,7 comments
Wasp – A programming language that understands what a web app is,47 points by ed,1 day ago,11 comments
Counterfactuals are not causality,87 points by grzm,1 day ago,60 comments
Nerdy Reading,40 points by masswerk,1 day ago,17 comments
Pfizerleak: Exposing the Pfizer manufacturing and supply agreement,11 points by giuliomagnifico,8 hours ago,3 comments
Haiku Beta 3,175 points by bitigchi,1 day ago,94 comments
Ttfautohint – a 99% automated font hinting process,62 points by pabs3,2 days ago,15 comments
2020: Hydrogen-boron fusion could be a dream come true,42 points by ycnews,1 day ago,11 comments
Why can't software engineers work from home most of the time? (2016),94 points by LaserDiscMan,1 day ago,93 comments
Cyber Insurance Incident Response: Market tends towards commoditization,35 points by EwanToo,1 day ago,29 comments
Jeff Bezos offers NASA $2bn in exchange for moon mission contract,25 points by theallan,17 hours ago,20 comments
Google Cloud offers a model for fixing Google’s product-killing reputation,7 points by TangerineDream,7 hours ago,2 comments
BLAKE3 1.0,219 points by ta988,1 day ago,118 comments
Japanese Typewriters,122 points by mkchoi212,1 day ago,65 comments
Show HN: Browse HN Comments by Timestamp,12 points by fctorial,20 hours ago,1 comment
My Fanless OpenBSD Desktop,267 points by rodrigo975,2 days ago,138 comments
"Huawei senior executive, Su Jing removed for “inappropriate remarks” about Tesla",6 points by belltaco,9 hours ago,2 comments
Why are used cars so expensive right now?,64 points by rmason,2 days ago,105 comments
Open offices have driven Panasonic to make horse blinders for humans (2018),90 points by airstrike,1 day ago,71 comments
Heuristics for Effective Software Development: A continuously evolving list,119 points by dailymorn,1 day ago,66 comments
"Amid massive hospital sell-off, corporate giant continues suing patients",112 points by hhs,1 day ago,55 comments
Ask HN: How to start a local tech meetup?,7 points by hemloc_io,12 hours ago,4 comments
NREL Open-Source Modeling Approach Simulates Low-Inertia Power Systems,55 points by rbanffy,1 day ago,27 comments
Making The World's Most Detailed Print Maps,118 points by mparr4,1 day ago,59 comments
How to Kill Your Business,17 points by arvidkahl,12 hours ago,2 comments
We're leaving Cloudflare – here's why – Pale Moon,43 points by Kal2ef,23 hours ago,16 comments
Rumbling meteor lights up Norway; part of it may have landed near Oslo,137 points by DoreenMichele,2 days ago,41 comments
Show HN: Qatalog.com – Rethinking a Platform for Work,33 points by philbo,1 day ago,10 comments
Ask HN: Why are username and password fields limited to certain characters?,10 points by m33k44,18 hours ago,17 comments
Ampache: An open source web based audio/video streaming app and file manager,129 points by LinuxBender,2 days ago,28 comments
Git-blame-someone-else,226 points by swyx,1 day ago,92 comments
Map[string]interface{} in Go: a user's manual,49 points by bitfield,1 day ago,69 comments
What's bad about Julia?,320 points by jakobnissen,1 day ago,314 comments
Ncdu 2: Less hungry and more Ziggy,232 points by signa11,2 days ago,41 comments
Reversing for dummies – x86 assembly and C code,152 points by FrankSansC,2 days ago,23 comments
Tesla second-quarter profits top $1B even as it struggles to handle demand,87 points by evo_9,1 day ago,77 comments
Facebook’s Broken Vows,40 points by tysone,1 day ago,1 comment
Tether executives said to face criminal probe into bank fraud,390 points by camjohnson26,1 day ago,278 comments
DeepMind’s Robot Inserts a USB Stick,6 points by amar-laksh,10 hours ago,4 comments
Typelevel Scala and the future of the Scala ecosystem (2014),34 points by luu,1 day ago,11 comments
"Lessons learned from 15 years of SumatraPDF, an open source Windows app",23 points by todsacerdoti,1 day ago,4 comments
Ask HN: How to Run Payroll for Founders?,7 points by austinvsmiami,14 hours ago,9 comments
Amazon denies report of accepting Bitcoin as payment,135 points by jmsflknr,1 day ago,169 comments
Debian GNU/Linux running bare metal on the Apple M1 with a mainline kernel,323 points by nixcraft,1 day ago,93 comments
Get ready for many more record-shattering heatwaves,69 points by sebwi,10 hours ago,26 comments
Time Travel: Running Python 3.7 on XP (2018),17 points by rdpintqogeogsaa,1 day ago,1 comment
Can GitHub Copilot Crack a Facebook Coding Interview?,14 points by giacaglia,10 hours ago,3 comments
Court bypasses 5th Amendment ordering man to unlock laptop with face,7 points by legohead,11 hours ago,4 comments
Amazon Web Services In Plain English (2019),284 points by mbildner,2 days ago,91 comments
CDC reverses mask policy:vaccinated people should wear them indoors in hot spots,13 points by pseudolus,11 hours ago,1 comment
Signal on Android: Images sent to wrong contacts,649 points by jiripospisil,2 days ago,378 comments
BioNTech is developing a malaria vaccine,13 points by idiliv,20 hours ago,1 comment
Sargable Queries and MUL Indexes; or Why My Query Is Slow,17 points by thomascountz,1 day ago,5 comments
The Generational Divide in Software Developers,149 points by daverol,1 day ago,150 comments
Show HN: A graveyard for my side projects,85 points by bilater,1 day ago,25 comments
Windows Defender blocks qBittorrent,329 points by ethbr0,1 day ago,331 comments
Don't Farm Bugs,7 points by limbicsystem,13 hours ago,7 comments
Laptop to Lambda: Outsourcing Everyday Jobs to Thousands of Transient Containers,144 points by mlerner,2 days ago,22 comments
Citizen pays New Yorkers to livestream crime scenes,56 points by tareqak,1 day ago,65 comments
French city of Nice gains UNESCO world heritage status,4 points by zanmat0,9 hours ago,1 comment
Nokia XR20 Mobile,22 points by d99kris,18 hours ago,35 comments
"Barinsta, the open source client for Instagram got a C&D from Facebook",45 points by prirai,19 hours ago,8 comments
I tried selling the boardgame “Secret Hitler” and my FB account got banned,28 points by genericuser314,1 day ago,3 comments
Types versus sets in math and programming languages,105 points by classified,2 days ago,59 comments
Don't Be Anti Car. Be Pro Something Else.,130 points by DoreenMichele,2 days ago,318 comments
Tesla 2Q 2021 Quarterly Result,98 points by marc__1,1 day ago,147 comments
Ask HN: Should I move to San Francisco?,20 points by quickaskq,22 hours ago,39 comments
Stronger C++ Typing,5 points by lionkor,13 hours ago,1 comment
Clubhouse is the big stinker that nobody wants to talk about,190 points by shp0ngle,2 days ago,131 comments
Researcher Stands by Prediction of 2040 Civilization Collapse,6 points by makerofspoons,13 hours ago,1 comment
Return to Office Hits a Snag: Young Resisters,54 points by nowherebeen,1 day ago,76 comments
"Rishi Sunak on Twitter: “No, we're not replacing cash with 'Britcoin'",3 points by edward,10 hours ago,1 comment
Restaurant Requires ’Proof of Being Unvaccinated’,8 points by DocFeind,8 hours ago,3 comments
A Linux distro with a focus on simplicity and the concept of less is more,168 points by kimburgess,3 days ago,83 comments
Russia disconnects from internet in tests as it bolsters security – RBC daily,27 points by rbanffy,1 day ago,9 comments
Why does NBC make it so difficult to watch the Olympics?,274 points by bko,1 day ago,287 comments
Why Japan Didn’t Create the iPod (2008),141 points by sharjeelsayed,1 day ago,132 comments
"‘Record-shattering’ heat becoming much more likely, says climate study",42 points by makerofspoons,1 day ago,7 comments
Fourplexes allowed on every S.F. single-family lot?,21 points by jseliger,1 day ago,20 comments
"“So to prove that anyone can be scammed, I was convinced to delete my YouTube",29 points by lightlyused,1 day ago,9 comments
An Empirical Study of Vulnerabilities in Cryptographic Libraries,105 points by signa11,2 days ago,57 comments
Hacking Is the Opposite of Marketing,157 points by cjlm,3 days ago,57 comments
Using Benford’s Law to Detect Bitcoin Manipulation,138 points by luu,2 days ago,84 comments
Show HN: 2500 Illustrations Design for Startups,10 points by mdsami,1 day ago,5 comments
"Show HN: Kenalo – Human connection, for those who want to be found",6 points by nseth,1 day ago,1 comment
The Insect Apocalypse That Never Was,25 points by yesenadam,1 day ago,10 comments
Covid Mania Returns Australia to Its Roots as a Nation of Prisoners,7 points by harambae,9 hours ago,4 comments
Tour of the Sacred Library,83 points by apsec112,2 days ago,11 comments
"Large cars kill US pedestrians, don't make drivers safer",90 points by jeffbee,9 hours ago,154 comments
Ask HN: Books that improved your career?,41 points by jilles,1 day ago,13 comments
America's “Friendscape” Crisis,74 points by samizdis,2 days ago,72 comments
"German gymnastics team, tired of sexualisation, wears unitards at Tokyo Olympics",63 points by DocFeind,2 days ago,51 comments
Fluxsort: A stable adaptive partitioning comparison sort,68 points by signa11,2 days ago,18 comments
The argument for switching off lights at night,60 points by throw0101a,2 days ago,31 comments
Case of a Man 3 Doctors Declared Dead Who Woke Up Just Before His Autopsy,48 points by starkd,2 days ago,8 comments
Steven Weinberg (1933-2021): a personal view,25 points by furcyd,2 days ago,5 comments
UK Weather: Flooding in London after heavy rain,90 points by montalbano,2 days ago,44 comments
Europe's Worker-Owned Food Delivery Apps,20 points by edward,1 day ago,1 comment
"One by One, African Countries Dismantle Colonial-Era Death Penalty Laws",7 points by jimmy2020,19 hours ago,1 comment
Ideas for Summer Reading,14 points by Tomte,2 days ago,1 comment
The 1.111B class of $0.99 .xyz domains white paper,39 points by xxyzz,2 days ago,46 comments
Reimagined toilets at a South Korea university transform human waste into biogas,64 points by anw,2 days ago,47 comments
Amazon reportedly has a ‘key’ to thousands of apartment buildings in US,30 points by BlackPlot,1 day ago,21 comments
How Do You Keep a Subway from Flooding in the Age of Rising Seas? (2019),84 points by alanwong,2 days ago,48 comments
Transliterating Old-School Basic,20 points by indigodaddy,2 days ago,1 comment
Elite Romans decorated their floors with garbage,95 points by ivanech,3 days ago,40 comments
Ruby Ractor Experiments: Safe async communication (2021),58 points by Lammy,2 days ago,11 comments
Finland provides housing and counseling to the homeless (2020),352 points by mpweiher,2 days ago,346 comments
"BeachBot, an AI-powered robot that cleans cigarette butts at the beach",6 points by simonebrunozzi,18 hours ago,1 comment
Agile at 20: The Failed Rebellion,341 points by jetheredge,2 days ago,303 comments
Comcast can now pinpoint fiber optic cable breaks within minutes,9 points by Atlas,21 hours ago,6 comments
"In asking NASA to accept his billions for the Moon, Bezos admits his mistake",23 points by samizdis,1 day ago,13 comments
The Assange case is collapsing but it remains a travesty of justice,438 points by thinkingemote,2 days ago,317 comments
Prince Charles’ experimental city,84 points by classichasclass,2 days ago,29 comments
Potential role of manufactured citric acid eliciting inflammatory reactions,41 points by voakbasda,1 day ago,14 comments
Amazon Is Creating Company Towns Across the United States,229 points by samizdis,2 days ago,250 comments
The insect apocalypse: ‘Our world will grind to a halt without them’,62 points by tartoran,2 days ago,9 comments
Scott Aaronson's Tribute to Steven Weinberg,25 points by gautamcgoel,2 days ago,1 comment
Surveillance Capitalism,14 points by Labo333,12 hours ago,1 comment
Moon Tricks Tesla's Full Self-Driving Feature into Thinking It's a Yellow Light,28 points by clashmeifyoucan,1 day ago,12 comments
How to Make a Chatbot Multi-Lingual,8 points by arcatech,1 day ago,3 comments
Ask HN: Why are you a competitive person?,19 points by 2bor-2n,1 day ago,13 comments
Americans' life ratings reach record high,127 points by gorwell,2 days ago,187 comments
Euthanasia Coaster,32 points by Tomte,15 hours ago,12 comments
"Windows 11 comes bearing THAAS, Trojan Horse as a service",24 points by _tk_,1 day ago,7 comments
When will we get secure desktop OSes? (2018),92 points by boramalper,2 days ago,97 comments
The CDC will recommend that some vaccinated people wear masks indoors again,10 points by AndrewBissell,11 hours ago,5 comments
How does AEMO predict demand in the National Electricity Market?,5 points by jbsimpson,2 days ago,1 comment
Clubhouse: We are changing our name,16 points by tosh,1 day ago,6 comments
Congress Beats Up Charter Schools,20 points by throwkeep,1 day ago,7 comments
Windows Sysinternals: advanced system utilities and technical information,64 points by vsto,2 days ago,25 comments
Israel says Pfizer Covid vaccine is just 39% effective as delta spreads,28 points by lnyan,23 hours ago,5 comments
"Disinformation for hire, a shadow industry, is quietly booming",242 points by rchaudhary,1 day ago,283 comments
Multi-day iron-air batteries reach commercialization at 1/10th of lithium cost,23 points by mardiyah,2 days ago,2 comments
Ask HN: What is your favourite stocks/options trading platform?,47 points by Hedgemaster,1 day ago,43 comments
She Changed Astronomy Forever. He Won the Nobel Prize for It,12 points by ajay-d,13 hours ago,3 comments
The Linux Desktop Is Studded with Grifters,23 points by nmcain,11 hours ago,14 comments
To H-E-Double-Hockey-Sticks with Facebook,352 points by axiolite,3 days ago,177 comments
A Noob’s Guide to McMaster-Carr (2017),11 points by Cieplak,1 day ago,2 comments
Show HN: Job List,4 points by ngc6677,1 day ago,1 comment
"Framework Laptop gets 10/10, fully replaceable",65 points by AbuAssar,2 days ago,23 comments
Nuclear power’s reliability is dropping as extreme weather increases,24 points by pseudolus,2 days ago,6 comments
Covid-19 in Israel is taking a globally unique course,7 points by puttycat,13 hours ago,1 comment
Bezos offers billions in incentives for NASA lunar lander contract,7 points by dongping,1 day ago,1 comment
On the lack of progress reports from the Mill project,66 points by signa11,2 days ago,46 comments
Dell won't ship energy-hungry PCs to California and five other US states,9 points by SOMA_BOFH,20 hours ago,1 comment
"Yep, it’s bleak, says expert who tested 1970s end-of-the-world prediction",30 points by tartoran,2 days ago,9 comments
Ad men sacked to improve gender pay gap win sex discrimination claim,184 points by thinkingemote,2 days ago,141 comments
Bootstrapping my old web dev ass after a year of unemployment,18 points by mlLK,2 days ago,8 comments
Untethered,8 points by graeme,2 days ago,1 comment
"I get it, Elizabeth Holmes",16 points by jaytaylor,1 day ago,9 comments
Tweezers of sound can pick objects up without physical contact,46 points by geox,2 days ago,12 comments
Debian Linux Running Bare Metal on Apple's M1 SoC,20 points by MR4D,1 day ago,1 comment
The Economic Consequences of Major Tax Cuts for the Rich [pdf],143 points by ingve,1 day ago,238 comments
"Steven Weinberg: What Is Quantum Field Theory, and What Did We Think It Is? (1997)",37 points by nabla9,1 day ago,30 comments
"I was sick, tired and had lost myself until I began lifting weights at 71",262 points by Tomte,2 days ago,194 comments
Purism is seeking investment from individuals,68 points by pipthepixie,2 days ago,65 comments
Why does Jeff Bezos’s rocket look like that? An inquiry,10 points by Engineering-MD,1 day ago,6 comments
Science Lost the Public’s Trust,5 points by mrfusion,1 day ago,1 comment
What annoys me about YouTube videos,43 points by tosh,2 days ago,25 comments
What is the best service in 2021 to incorporate in the US as non-US founder?,17 points by shorting24x7,2 days ago,4 comments
The largest fraud wave in history? Unemployment insurance fraud during Covid,11 points by petulla,1 day ago,1 comment
Having a go: US parents say Peppa Pig is giving their kids British accents,37 points by zeristor,2 days ago,35 comments
Rackspace literally decimates workforce: One in ten staffers let go this week,38 points by LinuxBender,2 days ago,20 comments
CDC Retracts PCR Test,22 points by URfejk,2 days ago,2 comments
Moon Tricks Tesla's Full Self-Driving Feature into Thinking It's a Yellow Light,18 points by tlochhead,2 days ago,1 comment
Bank of America using intelligence firms to attack WikiLeaks (2011),59 points by ttctciyf,1 day ago,4 comments
Colorado is paying social media influencers to tout Covid-19 vaccines,22 points by lsllc,2 days ago,22 comments
Sheriff’s Office letter targets residents for ‘increased accountability’,144 points by walterbell,2 days ago,70 comments
Pomodoro Sucks. Try Flowtime,10 points by bamey,1 day ago,7 comments
Covid-19 antibodies detected in 67% of India's population,13 points by AndrewBissell,1 day ago,3 comments
FBI Orchestrating Its Own Terrorism Plots,31 points by h2odragon,2 days ago,2 comments
Show HN: CiteIt – Building Trust in Responsible Media by Showing Quote Context,4 points by timlangeman,2 days ago,1 comment
Is Aging Inevitable?,80 points by evo_9,2 days ago,122 comments
Cryptocurrencies could lead to ‘limitless’ losses for UK government,17 points by samizdis,2 days ago,2 comments
Are you happy? Self-reported well being doesn’t match with external observation,17 points by lkrubner,2 days ago,4 comments
Best technical books about *BSD / macOS?,7 points by LucidLynx,1 day ago,13 comments
Apple’s handling of 2016 and 2017 MacBook Pro backlight cable problem [video],53 points by szhszder,1 day ago,20 comments
The Day the Good Internet Died,14 points by yusuf_giftworks,2 days ago,1 comment
Board Games Have a Colonialism Problem,11 points by webmaven,1 day ago,6 comments
Large study finds Covid-19 is linked to a substantial drop in intelligence,43 points by belltaco,2 days ago,7 comments
Ask HN: Why Martin Gardner is no longer popular?,16 points by danbst,2 days ago,15 comments
Tobacco firm Philip Morris calls for ban on cigarettes within decade,18 points by samizdis,2 days ago,12 comments
Young investors say they were 'played' by influencer-endorsed cryptocurrency,10 points by MilnerRoute,1 day ago,5 comments
VPN servers seized by Ukrainian authorities weren’t encrypted,7 points by m-watson,13 hours ago,3 comments
"Ask HN: How to know where to direct consumer abuse complaints? (tech, banks)",3 points by arthurcolle,1 day ago,5 comments
QR Codes Are Here to Stay. So Is the Tracking They Allow,28 points by pseudolus,1 day ago,38 comments
PinePhone – Open Source Smart Phone Supported by Major Linux Phone Projects,243 points by peter_d_sherman,2 days ago,251 comments
Vaccine maker BioNTech to use mRNA tech to target malaria,11 points by underscore_ku,1 day ago,4 comments
A Contamination Theory of the Obesity Epidemic,13 points by higerordermap,1 day ago,2 comments
Ask HN: Offline Learning Resources for Children,7 points by prawn,1 day ago,12 comments
Ask HN: How to verify a business (users will register their business on my app),3 points by snack-boye,1 day ago,10 comments
"Disinformation for Hire, a Shadow Industry, Is Quietly Booming",10 points by rbanffy,2 days ago,2 comments
Oracle cloud unit employees told to prepare for 24/7 work,18 points by softbiz,3 days ago,5 comments
Most Livable Cities,15 points by godelmachine,2 days ago,7 comments
Mysterious Russian Radio Station Called UVB 76,8 points by shankarro,1 day ago,1 comment
The Rise of Olympic Skateboarding and the Debate over Skating Culture,7 points by evo_9,2 days ago,1 comment
A 'black hole' for Covid vaccine injury claims,13 points by AndrewBissell,1 day ago,2 comments
Why is China smashing its tech industry?,10 points by JumpCrisscross,1 day ago,4 comments
Ask HN: House prices going up cause of software or people,10 points by servicecentral,2 days ago,15 comments
Ransomware hackers remain largely out of reach behind Russia’s cybercurtain,10 points by paulpauper,2 days ago,1 comment
FICO Score’s Hold on the Credit Market Is Slipping,13 points by JumpCrisscross,2 days ago,2 comments
Crypto-Trading vs. Options Trading,11 points by Hedgemaster,3 days ago,15 comments
"Companies are sucking carbon out of the atmosphere, and investors are piling in",9 points by vegetablepotpie,2 days ago,5 comments
"PC can't be shipped to CA, CO, HI, OR, VT or WA due to power consumption",174 points by SQL2219,1 day ago,247 comments
Fibre broadband ‘gold rush’: can the UK’s alt-nets pull it off?,4 points by simonjgreen,1 day ago,1 comment
Favouring tools is bad engineering (2018),22 points by _samjarman,2 days ago,14 comments
Why You Should Want Driverless Cars on Roads Now,10 points by technocratius,2 days ago,5 comments
"First came the ransomware attacks, now come the lawsuits",8 points by hoppyhoppy2,2 days ago,1 comment
US set for punishing temperatures as ‘heat dome’ to settle over country,118 points by pizza,1 day ago,148 comments
Ask HN: Viable Alternative to Kindle and Kindle Store?,8 points by iamnotwhoiam,3 days ago,8 comments
"Dietary supplements causing severe liver injuries in Australians, study shows",9 points by samizdis,2 days ago,1 comment
Open source APM/exception tracking that I could self host,3 points by SkyLinx,2 days ago,1 comment
"Tesla AutoPilot – I give up, it's downright lethal",183 points by pcbro141,2 days ago,207 comments
